,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,fsize,approx_USB_power_draw,task,dataset,environment
0,DenseNet121,CPU,Desktop,,,8062504.0,7978856.0,83648.0,0.049948992798725764,0.0,12000.0,64.0,0.6951666666666667,0.8446666666666667,0.8856666666666667,0.9243333333333333,33.226576,2.47255273117608,infer,imagenet,Desktop CPU
1,DenseNet121,CPU,Laptop,,,8062504.0,7978856.0,83648.0,0.048253755291303,0.0,12000.0,64.0,0.6951666666666667,0.8446666666666667,0.8856666666666667,0.9243333333333333,33.226576,1.33338080047011,infer,imagenet,Laptop CPU
2,DenseNet121,CPU,RasPi,,,8062504.0,7978856.0,83648.0,0.5014019211133321,0.0,12000.0,16.0,0.6950949073833333,0.8446216931333334,0.8856243386333333,0.9243442460166666,33.226576,5.515421132246653,infer,imagenet,RasPi CPU
3,DenseNet121,NCS,Desktop,,,8062504.0,7978856.0,83648.0,0.049981905768315,0.0,12000.0,1.0,0.6943333333333334,0.845,0.8848333333333334,0.9245833333333333,33.226576,0.8283795361104599,infer,imagenet,Desktop NCS
4,DenseNet121,NCS,Laptop,,,8062504.0,7978856.0,83648.0,0.049979335904121396,0.0,12000.0,1.0,0.6943333333333334,0.845,0.8848333333333334,0.9245833333333333,33.226576,0.8498251424393314,infer,imagenet,Laptop NCS
5,DenseNet121,NCS,RasPi,,,8062504.0,7978856.0,83648.0,0.05375254278381665,0.0,12000.0,1.0,0.69427857144,0.8449629629600001,0.8848021164000001,0.92459126984,33.226576,0.8600406845410664,infer,imagenet,RasPi NCS
6,DenseNet121,TPU,Desktop,,,8062504.0,7978856.0,83648.0,0.016145321309566495,0.0,12000.0,1.0,0.5719166666666666,0.7273333333333334,0.7783333333333333,0.8350833333333333,33.226576,0.27780883662469147,infer,imagenet,Desktop TPU
7,DenseNet121,TPU,Laptop,,,8062504.0,7978856.0,83648.0,0.015776618738969166,0.0,12000.0,1.0,0.5719166666666666,0.7273333333333334,0.7783333333333333,0.8350833333333333,33.226576,0.2853928118634545,infer,imagenet,Laptop TPU
8,DenseNet121,TPU,RasPi,,,8062504.0,7978856.0,83648.0,0.11256990333398184,0.0,12000.0,1.0,0.5719166666666666,0.7273333333333335,0.7783333333333333,0.8350833333333333,33.226576,1.8180039388438065,infer,imagenet,RasPi TPU
9,DenseNet169,CPU,Desktop,,,14307880.0,14149480.0,158400.0,0.05948587319254875,0.0,12000.0,64.0,0.7156666666666667,0.86025,0.8985,0.93275,58.593032,2.8987420112749276,infer,imagenet,Desktop CPU
10,DenseNet169,CPU,Laptop,,,14307880.0,14149480.0,158400.0,0.058583199004332225,0.0,12000.0,64.0,0.7156666666666667,0.86025,0.8985,0.93275,58.593032,1.606749698391885,infer,imagenet,Laptop CPU
11,DenseNet169,CPU,RasPi,,,14307880.0,14149480.0,158400.0,0.7903276092062395,0.0,12000.0,16.0,0.7156789021333334,0.86030853175,0.8984480819999999,0.93285152115,58.593032,8.693603701268634,infer,imagenet,RasPi CPU
12,DenseNet169,NCS,Desktop,,,14307880.0,14149480.0,158400.0,0.06627123978734016,0.0,12000.0,1.0,0.7145833333333333,0.8595,0.8978333333333334,0.93025,58.593032,1.1047253506202077,infer,imagenet,Desktop NCS
13,DenseNet169,NCS,Laptop,,,14307880.0,14149480.0,158400.0,0.06621696113546689,0.0,12000.0,1.0,0.7145833333333333,0.8595,0.8978333333333334,0.93025,58.593032,1.0681152839929617,infer,imagenet,Laptop NCS
14,DenseNet169,NCS,RasPi,,,14307880.0,14149480.0,158400.0,0.07219962030649185,0.0,12000.0,1.0,0.71462962964,0.8594830688,0.89779391536,0.93033915344,58.593032,1.1551939249038696,infer,imagenet,RasPi NCS
15,DenseNet169,TPU,Desktop,,,14307880.0,14149480.0,158400.0,0.02814467815558116,0.0,12000.0,1.0,0.6551666666666667,0.806,0.84775,0.8874166666666666,58.593032,0.4805919821719358,infer,imagenet,Desktop TPU
16,DenseNet169,TPU,Laptop,,,14307880.0,14149480.0,158400.0,0.02805155224601428,0.0,12000.0,1.0,0.6551666666666667,0.806,0.84775,0.8874166666666666,58.593032,0.5161163481006564,infer,imagenet,Laptop TPU
17,DenseNet169,TPU,RasPi,,,14307880.0,14149480.0,158400.0,0.28437635116279125,0.0,12000.0,1.0,0.6551666666666667,0.806,0.84775,0.8874166666666666,58.593032,4.592678071279079,infer,imagenet,RasPi TPU
18,DenseNet201,CPU,Desktop,,,20242984.0,20013928.0,229056.0,0.07667728715141614,0.0,12000.0,64.0,0.7303333333333333,0.8643333333333333,0.9028333333333334,0.93675,82.584656,3.636571249698105,infer,imagenet,Desktop CPU
19,DenseNet201,CPU,Laptop,,,20242984.0,20013928.0,229056.0,0.0762650745511055,0.0,12000.0,64.0,0.7303333333333333,0.8643333333333333,0.9028333333333334,0.93675,82.584656,2.07160549626885,infer,imagenet,Laptop CPU
20,DenseNet201,CPU,RasPi,,,20242984.0,20013928.0,229056.0,0.8885883949697018,0.0,12000.0,16.0,0.7301220238166666,0.8644169973666666,0.9029295635166666,0.9367116402,82.584656,9.77447234466672,infer,imagenet,RasPi CPU
21,DenseNet201,NCS,Desktop,,,20242984.0,20013928.0,229056.0,0.08991523493329684,0.0,12000.0,1.0,0.7289166666666667,0.86325,0.90175,0.9355,82.584656,1.4890976003077068,infer,imagenet,Desktop NCS
22,DenseNet201,NCS,Laptop,,,20242984.0,20013928.0,229056.0,0.08961951746543248,0.0,12000.0,1.0,0.7289166666666667,0.86325,0.90175,0.9355,82.584656,1.4278227132524923,infer,imagenet,Laptop NCS
23,DenseNet201,NCS,RasPi,,,20242984.0,20013928.0,229056.0,0.09569213911890984,0.0,12000.0,1.0,0.7287521164,0.86332037036,0.90179735448,0.93547328044,82.584656,1.5310742259025574,infer,imagenet,RasPi NCS
24,DenseNet201,TPU,Desktop,,,20242984.0,20013928.0,229056.0,0.043716541389624275,0.0,12000.0,1.0,0.6391666666666667,0.78725,0.82975,0.8753333333333333,82.584656,0.7516760103687579,infer,imagenet,Desktop TPU
25,DenseNet201,TPU,Laptop,,,20242984.0,20013928.0,229056.0,0.04393569000562032,0.0,12000.0,1.0,0.6391666666666667,0.78725,0.82975,0.8753333333333333,82.584656,0.8292582906861734,infer,imagenet,Laptop TPU
26,DenseNet201,TPU,RasPi,,,20242984.0,20013928.0,229056.0,0.48212803031007445,0.0,12000.0,1.0,0.6391666666666667,0.7872499999999999,0.8297500000000001,0.8753333333333333,82.584656,7.786367689507703,infer,imagenet,RasPi TPU
27,EfficientNetB0,CPU,Desktop,,,5330571.0,5288548.0,42023.0,0.022680314540863035,0.0,12000.0,64.0,0.7210833333333333,0.86225,0.8985,0.9331666666666667,21.856559999999998,1.04353482796965,infer,imagenet,Desktop CPU
28,EfficientNetB0,CPU,Laptop,,,5330571.0,5288548.0,42023.0,0.021153337438901267,0.0,12000.0,64.0,0.7210833333333333,0.86225,0.8985,0.9331666666666667,21.856559999999998,0.61296059081106,infer,imagenet,Laptop CPU
29,EfficientNetB0,CPU,RasPi,,,5330571.0,5288548.0,42023.0,0.2687297401328882,0.0,12000.0,16.0,0.72034719985,0.8662263151,0.9008583489833332,0.9352145173333334,21.856559999999998,2.95602714146177,infer,imagenet,RasPi CPU
30,EfficientNetB0,TPU,Desktop,,,5330571.0,5288548.0,42023.0,0.03845578696330389,0.0,12000.0,1.0,0.60425,0.7650833333333333,0.8169166666666666,0.8676666666666667,21.856559999999998,0.6922315917259044,infer,imagenet,Desktop TPU
31,EfficientNetB0,TPU,Laptop,,,5330571.0,5288548.0,42023.0,0.036026749412218735,0.0,12000.0,1.0,0.60425,0.7650833333333333,0.8169166666666666,0.8676666666666667,21.856559999999998,0.7676886242477416,infer,imagenet,Laptop TPU
32,EfficientNetB0,TPU,RasPi,,,5330571.0,5288548.0,42023.0,0.1340726986527443,0.0,12000.0,1.0,0.60425,0.7650833333333334,0.8169166666666666,0.8676666666666667,21.856559999999998,2.1652740832418207,infer,imagenet,RasPi TPU
33,EfficientNetB1,CPU,Desktop,,,7856239.0,7794184.0,62055.0,0.033677519847949346,0.0,12000.0,64.0,0.7620833333333333,0.8929166666666667,0.923,0.9501666666666667,32.186136,1.4493399260379,infer,imagenet,Desktop CPU
