,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,accuracy_k1,accuracy_k3,accuracy_k5,accuracy_k10,approx_USB_power_draw,fsize,task,dataset,environment
2,DenseNet121,CPU,RasPi,,,8062504.0,7978856.0,83648.0,0.22824813809990882,36632.24927777945,12000.0,24.0,0.6950949073833333,0.8446216931333334,0.8856243386333333,0.9243442460166666,36632.24927777945,33.226576,infer,imagenet,RasPi CPU
5,DenseNet121,NCS,RasPi,,,8062504.0,7978856.0,83648.0,0.0632075419386228,5699.162893239885,12000.0,1.0,0.69427857144,0.8449629629600001,0.8848021164000001,0.92459126984,5699.447327178609,33.226576,infer,imagenet,RasPi NCS
8,DenseNet121,TPU,RasPi,,,8062504.0,7978856.0,83648.0,0.016107773005962372,899.351979329556,12000.0,1.0,0.5719166666666666,0.7273333333333335,0.7783333333333333,0.8350833333333333,899.4244643080829,33.226576,infer,imagenet,RasPi TPU
11,DenseNet169,CPU,RasPi,,,14307880.0,14149480.0,158400.0,0.2705431547479497,43365.33989433132,12000.0,24.0,0.7156789021333334,0.86030853175,0.8984480819999999,0.9328515211499999,43365.33989433132,58.593032,infer,imagenet,RasPi CPU
14,DenseNet169,NCS,RasPi,,,14307880.0,14149480.0,158400.0,0.08165326454838118,7442.578447557037,12000.0,1.0,0.71462962964,0.8594830688,0.89779391536,0.93033915344,7442.945887247505,58.59303200000001,infer,imagenet,RasPi NCS
17,DenseNet169,TPU,RasPi,,,14307880.0,14149480.0,158400.0,0.028083812958664366,1574.456917264056,12000.0,1.0,0.6551666666666667,0.806,0.84775,0.8874166666666666,1574.58329442237,58.593032,infer,imagenet,RasPi TPU
20,DenseNet201,CPU,RasPi,,,20242984.0,20013928.0,229056.0,0.35849653366870354,57255.23908361295,12000.0,24.0,0.7301220238166666,0.8644169973666666,0.9029295635166666,0.9367116402,57255.23908361295,82.584656,infer,imagenet,RasPi CPU
23,DenseNet201,NCS,RasPi,,,20242984.0,20013928.0,229056.0,0.10785726865530014,9886.329930980095,12000.0,1.0,0.7287521164,0.86332037036,0.90179735448,0.9354732804399999,9886.815288689042,82.584656,infer,imagenet,RasPi NCS
26,DenseNet201,TPU,RasPi,,,20242984.0,20013928.0,229056.0,0.04358636922968758,2438.255708199288,12000.0,1.0,0.6391666666666667,0.7872499999999999,0.8297500000000001,0.8753333333333333,2438.4518468608217,82.584656,infer,imagenet,RasPi TPU
29,EfficientNetB0,CPU,RasPi,,,5330571.0,5288548.0,42023.0,0.28380091670008584,44956.6419303193,12000.0,24.0,0.72034719985,0.8662263151,0.9008583489833333,0.9352145173333334,44956.6419303193,21.856559999999998,infer,imagenet,RasPi CPU
32,EfficientNetB0,TPU,RasPi,,,5330571.0,5288548.0,42023.0,0.03825341941912969,2269.968774711408,12000.0,1.0,0.60425,0.7650833333333334,0.8169166666666666,0.8676666666666667,2270.1409150987943,21.856559999999998,infer,imagenet,RasPi TPU
41,InceptionV3,CPU,RasPi,,,23851784.0,23817352.0,34432.0,0.955134071752434,150909.31382596144,12000.0,16.0,0.7669299897666667,0.8979309331666666,0.9293103333,0.9561585730000001,150909.31382596144,108.98181699999999,infer,imagenet,RasPi CPU
44,InceptionV3,NCS,RasPi,,,23851784.0,23817352.0,34432.0,0.10504261430899302,9469.537181349458,12000.0,1.0,0.75583174604,0.89003544972,0.9243089947199999,0.9496780423200001,9470.00987311385,108.981817,infer,imagenet,RasPi NCS
47,InceptionV3,TPU,RasPi,,,23851784.0,23817352.0,34432.0,0.0457101963824696,2560.8970277687163,12000.0,1.0,0.7690833333333332,0.8969999999999999,0.92575,0.9489166666666667,2561.1027236524374,108.98181699999999,infer,imagenet,RasPi TPU
50,MobileNet,CPU,RasPi,,,4253864.0,4231976.0,21888.0,0.17489488707506304,27785.063257880392,12000.0,24.0,0.6142690696666666,0.7761582892333333,0.8231942239833333,0.8749691357999999,27785.063257880392,,infer,imagenet,RasPi CPU
53,MobileNet,NCS,RasPi,,,4253864.0,4231976.0,21888.0,0.03246880062421163,2831.8549296122283,12000.0,1.0,0.57652089948,0.7422076719599999,0.79296190476,0.85265449736,2832.001039215037,,infer,imagenet,RasPi NCS
56,MobileNet,TPU,RasPi,,,4253864.0,4231976.0,21888.0,0.006787952497601509,725.57457716412,12000.0,1.0,0.59778290345,0.757525959,0.807468088625,0.855829530425,725.6051229503593,,infer,imagenet,RasPi TPU
59,MobileNetV2,CPU,RasPi,,,3538984.0,3504872.0,34112.0,0.06873723773492707,10865.52109701083,12000.0,24.0,0.6224679232666667,0.7800456349166667,0.8289332010333333,0.8786101190499999,10865.52109701083,14.552912,infer,imagenet,RasPi CPU
62,MobileNetV2,NCS,RasPi,,,3538984.0,3504872.0,34112.0,0.0381735972682635,3378.8872790658934,12000.0,1.0,0.61317037036,0.77521825396,0.8238126984,0.8728563492000001,3379.0590602536017,14.552911999999997,infer,imagenet,RasPi NCS
65,MobileNetV2,TPU,RasPi,,,3538984.0,3504872.0,34112.0,0.15711977351484474,24447.325049087853,12000.0,1.0,0.6164375,0.775776041675,0.8242708333250001,0.8721875,24448.03208806867,14.552912,infer,imagenet,RasPi TPU
68,MobileNetV3Large,CPU,RasPi,,,5507432.0,5483032.0,24400.0,0.11994705752531687,18951.199589951855,12000.0,16.0,0.7194113757,0.859375,0.896412037,0.9314649471,18951.199589951855,22.7354,infer,imagenet,RasPi CPU
71,MobileNetV3Large,NCS,RasPi,,,5507432.0,5483032.0,24400.0,0.037334853013356525,5898.658469835133,12000.0,1.0,0.7179232804,0.8584656085,0.8937665344,0.9310515873,5898.826476673693,22.7354,infer,imagenet,RasPi NCS
