,model,backend,architecture,number_of_operations,number_of_unmapped_operations,total_parameters,trainable_parameters,non_trainable_parameters,running_time,power_draw,validation_size,batch_size,precision_B,recall_B,mAP50_B,mAP50_95_B,precision_M,recall_M,mAP50_M,mAP50_95_M,approx_USB_power_draw,fsize,task,dataset,environment
0,yolov8m-seg,CPU,Desktop,360.0,210.0,27285968.0,,,0.8350936130205789,182820.5909984346,5000.0,1.0,0.7075723936243637,0.5990691906330639,0.6584600698407657,0.4951040631787425,0.700502181069853,0.5814478978045503,0.630327489008188,0.40940209726258475,182820.5909984346,43725619.2,infer,coco,Desktop CPU
1,yolov8m-seg,CPU,Laptop,360.0,210.0,27285968.0,,,0.7252153133407235,69457.98087790626,2564.0,16.0,0.7011457823183064,0.6531578700332934,0.714473307626599,0.5491922792170649,0.7023161302190857,0.6214393019289978,0.6806759170738794,0.45229619646448416,69457.98087790626,43725619.2,infer,coco,Laptop CPU
2,yolov8m-seg,NCS,Desktop,360.0,210.0,27285968.0,,,0.5735147217909495,108056.15990170471,5000.0,1.0,0.7076540944266476,0.5990817732339818,0.6585682830176591,0.4951578611355143,0.6983368200881178,0.583006198857065,0.6305191764985542,0.4094831641241152,108058.74071795277,43725619.2,infer,coco,Desktop NCS
3,yolov8m-seg,NCS,Laptop,360.0,210.0,27285968.0,,,0.5863930881023407,56824.939368864,128.0,1.0,0.6945143311613614,0.7070452973929083,0.7706124766961834,0.6037813163593349,0.7058314945121266,0.6597982710039051,0.7301714630061342,0.4950622644731518,56827.57813776046,43725619.2,infer,coco,Laptop NCS
4,yolov8m-seg,TPU,Desktop,360.0,210.0,27285968.0,,,2.213677673530578,183188.56218319634,5000.0,1.0,0.5432484219783149,0.5079877546328146,0.5011763405998035,0.29575139627041386,0.5501916980902589,0.5154614744010259,0.5049720855411722,0.3125311710977656,183198.52373272725,43725619.2,infer,coco,Desktop TPU
5,yolov8m-seg,TPU,Laptop,360.0,210.0,27285968.0,,,1.771541802212596,150363.5225863365,128.0,1.0,0.6497107502772345,0.5354812623123135,0.6244629179583464,0.4067661508549263,0.649351807679521,0.5383913105348955,0.6175441859015467,0.3996624173867249,150371.49452444646,43725619.2,infer,coco,Laptop TPU
6,yolov8n-seg,CPU,Desktop,294.0,186.0,3409968.0,,,0.28713682295481363,56118.88203152613,5000.0,1.0,0.6210279549846526,0.4791593858880245,0.5157784429417891,0.3630963772749845,0.6171059468566064,0.45589750596287537,0.4893569740343981,0.30426579320225927,56118.88203152613,6501171.2,infer,coco,Desktop CPU
7,yolov8n-seg,CPU,Laptop,294.0,186.0,3409968.0,,,0.19815263029187918,19048.195538206695,2564.0,16.0,0.6256639627607921,0.4972836571950427,0.556199541085551,0.40637200386191946,0.6100900882144473,0.4702870770811588,0.521664105775516,0.3346888125644192,19048.195538206695,6501171.2,infer,coco,Laptop CPU
8,yolov8n-seg,NCS,Desktop,294.0,186.0,3409968.0,,,0.14854679360389708,25058.943949321038,5000.0,1.0,0.620128423335595,0.47982814291811976,0.5158952992143003,0.3631096110786756,0.6174722102044388,0.455924352885739,0.48954639270189865,0.3042965554354199,25059.612409892256,6501171.2,infer,coco,Desktop NCS
9,yolov8n-seg,NCS,Laptop,294.0,186.0,3409968.0,,,0.18486418016254902,18257.838303433502,128.0,1.0,0.6281993182117424,0.5164314686068545,0.5966363256717929,0.44977116022017344,0.6018170123941857,0.4856985013230083,0.5538005219504395,0.36516155055854616,18258.67019224423,6501171.2,infer,coco,Laptop NCS
10,yolov8n-seg,TPU,Desktop,294.0,186.0,3409968.0,,,0.3958630694548289,42159.105679756,5000.0,1.0,0.46928502679641076,0.37925302033652225,0.36107761517178877,0.20535236321793757,0.46142406788060936,0.3727682364343922,0.35261587400285066,0.2085769425843297,42160.88706356855,6501171.2,infer,coco,Desktop TPU
11,yolov8n-seg,TPU,Laptop,294.0,186.0,3409968.0,,,0.41351090371608734,33732.590920266375,128.0,1.0,0.47352098529243464,0.4261469570099609,0.43756650588359314,0.2727730436300595,0.4699242449925184,0.4148351624945546,0.41617802749104094,0.25951539566433607,33734.4517193331,6501171.2,infer,coco,Laptop TPU
12,yolov8s-seg,CPU,Desktop,293.0,185.0,11821056.0,,,0.46412832528750103,96774.3028882442,5000.0,1.0,0.6924086640637617,0.5521148942765176,0.6058163022128417,0.4438749090311284,0.68592223990413,0.531393559525611,0.5769481676773057,0.36969814461954814,96774.3028882442,22544384.0,infer,coco,Desktop CPU
13,yolov8s-seg,CPU,Laptop,293.0,185.0,11821056.0,,,0.3571323404535651,34253.580414382945,2564.0,16.0,0.7153375780844295,0.6186658277202408,0.6791710258417627,0.5133562457817888,0.707629734375784,0.6002907378113888,0.6472409492802755,0.4241103843096543,34253.580414382945,22544384.0,infer,coco,Laptop CPU
